DataType,KNN,Dimensions,NumPoints,Time,Distribution
Bucket,5,5,800,0.000414,Uniform
Bucket,5,5,1600,0.000371,Uniform
Bucket,5,5,3200,0.000463,Uniform
Bucket,5,5,6400,0.000459,Uniform
Bucket,5,5,12800,0.000512,Uniform
Bucket,5,5,25600,0.000452,Uniform
Bucket,5,5,51200,0.000509,Uniform
Bucket,6,5,50,0.000507,Uniform
Bucket,6,5,100,0.000483,Uniform
Bucket,6,5,200,0.000506,Uniform
Bucket,6,5,400,0.000461,Uniform
Bucket,6,5,800,0.000484,Uniform
Bucket,6,5,1600,0.000506,Uniform
Bucket,6,5,3200,0.000411,Uniform
Bucket,6,5,6400,0.000432,Uniform
Bucket,6,5,12800,0.000453,Uniform
Bucket,6,5,25600,0.000471,Uniform
Bucket,6,5,51200,0.000420,Uniform
Bucket,7,5,50,0.000555,Uniform
Bucket,7,5,100,0.000466,Uniform
Bucket,7,5,200,0.000495,Uniform
Bucket,7,5,400,0.000552,Uniform
Bucket,7,5,800,0.000496,Uniform
Bucket,7,5,1600,0.000632,Uniform
Bucket,7,5,3200,0.000431,Uniform
Bucket,7,5,6400,0.000558,Uniform
Bucket,7,5,12800,0.000511,Uniform
Bucket,7,5,25600,0.000643,Uniform
Bucket,7,5,51200,0.000499,Uniform
Bucket,8,5,50,0.000548,Uniform
Bucket,8,5,100,0.000531,Uniform
Bucket,8,5,200,0.000518,Uniform
Bucket,8,5,400,0.000560,Uniform
Bucket,8,5,800,0.000579,Uniform
Bucket,8,5,1600,0.000483,Uniform
Bucket,8,5,3200,0.000552,Uniform
Bucket,8,5,6400,0.000610,Uniform
Bucket,8,5,12800,0.000492,Uniform
Bucket,8,5,25600,0.000507,Uniform
Bucket,8,5,51200,0.000535,Uniform
Bucket,9,5,50,0.000479,Uniform
Bucket,9,5,100,0.000558,Uniform
Bucket,9,5,200,0.000525,Uniform
Bucket,9,5,400,0.000582,Uniform
Bucket,9,5,800,0.000521,Uniform
Bucket,9,5,1600,0.000579,Uniform
Bucket,9,5,3200,0.000583,Uniform
Bucket,9,5,6400,0.000566,Uniform
Bucket,9,5,12800,0.000511,Uniform
Bucket,9,5,25600,0.000511,Uniform
Bucket,9,5,51200,0.000660,Uniform
Bucket,1,10,50,0.649319,Uniform
Bucket,1,10,100,0.875601,Uniform
Bucket,1,10,200,0.839518,Uniform
Bucket,1,10,400,0.907750,Uniform
Bucket,1,10,800,0.781012,Uniform
Bucket,1,10,1600,0.695478,Uniform
Bucket,1,10,3200,0.875528,Uniform
Bucket,1,10,6400,0.884043,Uniform
Bucket,1,10,12800,0.873823,Uniform
Bucket,1,10,25600,0.855382,Uniform
Bucket,1,10,51200,0.802838,Uniform
Bucket,2,10,50,1.000969,Uniform
Bucket,2,10,100,0.964277,Uniform
Bucket,2,10,200,0.993889,Uniform
Bucket,2,10,400,0.871907,Uniform
Bucket,2,10,800,0.915555,Uniform
Bucket,2,10,1600,0.900909,Uniform
Bucket,2,10,3200,0.976385,Uniform
Bucket,2,10,6400,1.032072,Uniform
Bucket,2,10,12800,0.908147,Uniform
Bucket,2,10,25600,0.960933,Uniform
Bucket,2,10,51200,0.986779,Uniform
Bucket,3,10,50,1.209491,Uniform
Bucket,3,10,100,0.997360,Uniform
Bucket,3,10,200,0.948130,Uniform
Bucket,3,10,400,0.955281,Uniform
Bucket,3,10,800,0.962940,Uniform
Bucket,3,10,1600,1.049736,Uniform
Bucket,3,10,3200,1.100214,Uniform
Bucket,3,10,6400,1.066132,Uniform
Bucket,3,10,12800,1.085939,Uniform
Bucket,3,10,25600,0.953306,Uniform
Bucket,3,10,51200,1.081142,Uniform
Bucket,4,10,50,1.068821,Uniform
Bucket,4,10,100,1.148607,Uniform
Bucket,4,10,200,1.103427,Uniform
Bucket,4,10,400,1.161883,Uniform
Bucket,4,10,800,0.994847,Uniform
Bucket,4,10,1600,1.004802,Uniform
Bucket,4,10,3200,1.006882,Uniform
Bucket,4,10,6400,1.094232,Uniform
Bucket,4,10,12800,1.033838,Uniform
Bucket,4,10,25600,1.035914,Uniform
Bucket,4,10,51200,1.037400,Uniform
Bucket,5,10,50,1.161362,Uniform
Bucket,5,10,100,1.152342,Uniform
Bucket,5,10,200,1.198895,Uniform
Bucket,5,10,400,1.137810,Uniform
Bucket,5,10,800,1.222627,Uniform
Bucket,5,10,1600,1.188861,Uniform
Bucket,5,10,3200,1.161164,Uniform
Bucket,5,10,6400,1.221451,Uniform
Bucket,5,10,12800,1.112788,Uniform
Bucket,5,10,25600,1.146137,Uniform
Bucket,5,10,51200,1.239217,Uniform
Bucket,6,10,50,1.208429,Uniform
Bucket,6,10,100,1.140803,Uniform
Bucket,6,10,200,1.189570,Uniform
Bucket,6,10,400,1.195829,Uniform
Bucket,6,10,800,1.315699,Uniform
Bucket,6,10,1600,1.215947,Uniform
Bucket,6,10,3200,1.336745,Uniform
Bucket,6,10,6400,1.250380,Uniform
Bucket,6,10,12800,1.228752,Uniform
Bucket,6,10,25600,1.181554,Uniform
Bucket,6,10,51200,1.230137,Uniform
Bucket,7,10,50,1.313456,Uniform
Bucket,7,10,100,1.202966,Uniform
Bucket,7,10,200,1.255655,Uniform
Bucket,7,10,400,1.209030,Uniform
Bucket,7,10,800,1.263381,Uniform
Bucket,7,10,1600,1.254586,Uniform
Bucket,7,10,3200,1.320694,Uniform
Bucket,7,10,6400,1.355049,Uniform
Bucket,7,10,12800,1.312642,Uniform
Bucket,7,10,25600,1.281804,Uniform
Bucket,7,10,51200,1.358209,Uniform
Bucket,8,10,50,1.390373,Uniform
Bucket,8,10,100,1.345273,Uniform
Bucket,8,10,200,1.275251,Uniform
Bucket,8,10,400,1.225450,Uniform
Bucket,8,10,800,1.348429,Uniform
Bucket,8,10,1600,1.307909,Uniform
Bucket,8,10,3200,1.238940,Uniform
Bucket,8,10,6400,1.411837,Uniform
Bucket,8,10,12800,1.423900,Uniform
Bucket,8,10,25600,1.367025,Uniform
Bucket,8,10,51200,1.332221,Uniform
Bucket,9,10,50,1.338533,Uniform
Bucket,9,10,100,1.321911,Uniform
Bucket,9,10,200,1.249365,Uniform
Bucket,9,10,400,1.258635,Uniform
Bucket,9,10,800,1.359469,Uniform
Bucket,9,10,1600,1.398371,Uniform
Bucket,9,10,3200,1.342403,Uniform
Bucket,9,10,6400,1.292774,Uniform
Bucket,9,10,12800,1.345367,Uniform
Bucket,9,10,25600,1.254127,Uniform
Bucket,9,10,51200,1.343774,Uniform
