DataType,KNN,Dimensions,NumPoints,Time,Distribution
KDTree,6,5,6400,0.000336,Gaussian
KDTree,6,5,12800,0.000284,Gaussian
KDTree,6,5,25600,0.000332,Gaussian
KDTree,6,5,51200,0.000302,Gaussian
KDTree,7,5,50,0.000298,Gaussian
KDTree,7,5,100,0.000364,Gaussian
KDTree,7,5,200,0.000319,Gaussian
KDTree,7,5,400,0.000403,Gaussian
KDTree,7,5,800,0.000392,Gaussian
KDTree,7,5,1600,0.000266,Gaussian
KDTree,7,5,3200,0.000314,Gaussian
KDTree,7,5,6400,0.000418,Gaussian
KDTree,7,5,12800,0.000321,Gaussian
KDTree,7,5,25600,0.000358,Gaussian
KDTree,7,5,51200,0.000346,Gaussian
KDTree,8,5,50,0.000347,Gaussian
KDTree,8,5,100,0.000274,Gaussian
KDTree,8,5,200,0.000322,Gaussian
KDTree,8,5,400,0.000324,Gaussian
KDTree,8,5,800,0.000297,Gaussian
KDTree,8,5,1600,0.000346,Gaussian
KDTree,8,5,3200,0.000360,Gaussian
KDTree,8,5,6400,0.000336,Gaussian
KDTree,8,5,12800,0.000412,Gaussian
KDTree,8,5,25600,0.000332,Gaussian
KDTree,8,5,51200,0.000320,Gaussian
KDTree,9,5,50,0.000314,Gaussian
KDTree,9,5,100,0.000409,Gaussian
KDTree,9,5,200,0.000313,Gaussian
KDTree,9,5,400,0.000344,Gaussian
KDTree,9,5,800,0.000314,Gaussian
KDTree,9,5,1600,0.000316,Gaussian
KDTree,9,5,3200,0.000341,Gaussian
KDTree,9,5,6400,0.000259,Gaussian
KDTree,9,5,12800,0.000327,Gaussian
KDTree,9,5,25600,0.000381,Gaussian
KDTree,9,5,51200,0.000399,Gaussian
KDTree,1,10,50,0.455256,Gaussian
KDTree,1,10,100,0.318333,Gaussian
KDTree,1,10,200,0.436004,Gaussian
KDTree,1,10,400,0.436603,Gaussian
KDTree,1,10,800,0.428713,Gaussian
KDTree,1,10,1600,0.415155,Gaussian
KDTree,1,10,3200,0.466804,Gaussian
KDTree,1,10,6400,0.341662,Gaussian
KDTree,1,10,12800,0.359391,Gaussian
KDTree,1,10,25600,0.559058,Gaussian
KDTree,1,10,51200,0.550761,Gaussian
KDTree,2,10,50,0.517941,Gaussian
KDTree,2,10,100,0.534900,Gaussian
KDTree,2,10,200,0.658434,Gaussian
KDTree,2,10,400,0.538998,Gaussian
KDTree,2,10,800,0.464148,Gaussian
KDTree,2,10,1600,0.484222,Gaussian
KDTree,2,10,3200,0.536184,Gaussian
KDTree,2,10,6400,0.548870,Gaussian
KDTree,2,10,12800,0.586532,Gaussian
KDTree,2,10,25600,0.574888,Gaussian
KDTree,2,10,51200,0.454760,Gaussian
KDTree,3,10,50,0.539684,Gaussian
KDTree,3,10,100,0.590129,Gaussian
KDTree,3,10,200,0.512063,Gaussian
KDTree,3,10,400,0.523874,Gaussian
KDTree,3,10,800,0.535543,Gaussian
KDTree,3,10,1600,0.560406,Gaussian
KDTree,3,10,3200,0.522696,Gaussian
KDTree,3,10,6400,0.553238,Gaussian
KDTree,3,10,12800,0.523658,Gaussian
KDTree,3,10,25600,0.494373,Gaussian
KDTree,3,10,51200,0.583062,Gaussian
KDTree,4,10,50,0.611447,Gaussian
KDTree,4,10,100,0.618465,Gaussian
KDTree,4,10,200,0.633266,Gaussian
KDTree,4,10,400,0.527779,Gaussian
KDTree,4,10,800,0.617715,Gaussian
KDTree,4,10,1600,0.530411,Gaussian
KDTree,4,10,3200,0.579663,Gaussian
KDTree,4,10,6400,0.573911,Gaussian
KDTree,4,10,12800,0.550025,Gaussian
KDTree,4,10,25600,0.499677,Gaussian
KDTree,4,10,51200,0.548690,Gaussian
KDTree,5,10,50,0.583574,Gaussian
KDTree,5,10,100,0.579061,Gaussian
KDTree,5,10,200,0.495373,Gaussian
KDTree,5,10,400,0.625530,Gaussian
KDTree,5,10,800,0.558022,Gaussian
KDTree,5,10,1600,0.567464,Gaussian
KDTree,5,10,3200,0.664348,Gaussian
KDTree,5,10,6400,0.589278,Gaussian
KDTree,5,10,12800,0.527062,Gaussian
KDTree,5,10,25600,0.534773,Gaussian
KDTree,5,10,51200,0.640820,Gaussian
KDTree,6,10,50,0.585883,Gaussian
KDTree,6,10,100,0.631691,Gaussian
KDTree,6,10,200,0.562969,Gaussian
KDTree,6,10,400,0.680038,Gaussian
KDTree,6,10,800,0.645182,Gaussian
KDTree,6,10,1600,0.627458,Gaussian
KDTree,6,10,3200,0.568942,Gaussian
KDTree,6,10,6400,0.535012,Gaussian
KDTree,6,10,12800,0.517336,Gaussian
KDTree,6,10,25600,0.495721,Gaussian
KDTree,6,10,51200,0.532655,Gaussian
KDTree,7,10,50,0.540770,Gaussian
KDTree,7,10,100,0.564137,Gaussian
KDTree,7,10,200,0.610697,Gaussian
KDTree,7,10,400,0.692860,Gaussian
KDTree,7,10,800,0.604193,Gaussian
KDTree,7,10,1600,0.561497,Gaussian
KDTree,7,10,3200,0.564992,Gaussian
KDTree,7,10,6400,0.579784,Gaussian
KDTree,7,10,12800,0.603721,Gaussian
KDTree,7,10,25600,0.578544,Gaussian
KDTree,7,10,51200,0.599792,Gaussian
KDTree,8,10,50,0.546318,Gaussian
KDTree,8,10,100,0.645283,Gaussian
KDTree,8,10,200,0.574880,Gaussian
KDTree,8,10,400,0.593451,Gaussian
KDTree,8,10,800,0.575610,Gaussian
KDTree,8,10,1600,0.601118,Gaussian
KDTree,8,10,3200,0.603408,Gaussian
KDTree,8,10,6400,0.578889,Gaussian
KDTree,8,10,12800,0.645944,Gaussian
KDTree,8,10,25600,0.656300,Gaussian
KDTree,8,10,51200,0.643519,Gaussian
KDTree,9,10,50,0.563990,Gaussian
KDTree,9,10,100,0.636571,Gaussian
KDTree,9,10,200,0.603132,Gaussian
KDTree,9,10,400,0.597972,Gaussian
KDTree,9,10,800,0.649508,Gaussian
KDTree,9,10,1600,0.588942,Gaussian
KDTree,9,10,3200,0.664954,Gaussian
KDTree,9,10,6400,0.634394,Gaussian
KDTree,9,10,12800,0.659063,Gaussian
KDTree,9,10,25600,0.623820,Gaussian
KDTree,9,10,51200,0.669806,Gaussian
