DataType,KNN,Dimensions,NumPoints,Time,Distribution
KDTree,8,2,1600,0.000025,Uniform
KDTree,8,2,3200,0.000027,Uniform
KDTree,8,2,6400,0.000031,Uniform
KDTree,8,2,12800,0.000023,Uniform
KDTree,8,2,25600,0.000022,Uniform
KDTree,8,2,51200,0.000025,Uniform
KDTree,9,2,50,0.000035,Uniform
KDTree,9,2,100,0.000021,Uniform
KDTree,9,2,200,0.000029,Uniform
KDTree,9,2,400,0.000023,Uniform
KDTree,9,2,800,0.000025,Uniform
KDTree,9,2,1600,0.000024,Uniform
KDTree,9,2,3200,0.000025,Uniform
KDTree,9,2,6400,0.000027,Uniform
KDTree,9,2,12800,0.000027,Uniform
KDTree,9,2,25600,0.000026,Uniform
KDTree,9,2,51200,0.000025,Uniform
KDTree,1,5,50,0.000273,Uniform
KDTree,1,5,100,0.000272,Uniform
KDTree,1,5,200,0.000233,Uniform
KDTree,1,5,400,0.000228,Uniform
KDTree,1,5,800,0.000248,Uniform
KDTree,1,5,1600,0.000196,Uniform
KDTree,1,5,3200,0.000252,Uniform
KDTree,1,5,6400,0.000206,Uniform
KDTree,1,5,12800,0.000242,Uniform
KDTree,1,5,25600,0.000198,Uniform
KDTree,1,5,51200,0.000233,Uniform
KDTree,2,5,50,0.000272,Uniform
KDTree,2,5,100,0.000322,Uniform
KDTree,2,5,200,0.000282,Uniform
KDTree,2,5,400,0.000306,Uniform
KDTree,2,5,800,0.000291,Uniform
KDTree,2,5,1600,0.000299,Uniform
KDTree,2,5,3200,0.000322,Uniform
KDTree,2,5,6400,0.000377,Uniform
KDTree,2,5,12800,0.000316,Uniform
KDTree,2,5,25600,0.000322,Uniform
KDTree,2,5,51200,0.000374,Uniform
KDTree,3,5,50,0.000308,Uniform
KDTree,3,5,100,0.000291,Uniform
KDTree,3,5,200,0.000346,Uniform
KDTree,3,5,400,0.000381,Uniform
KDTree,3,5,800,0.000399,Uniform
KDTree,3,5,1600,0.000412,Uniform
KDTree,3,5,3200,0.000430,Uniform
KDTree,3,5,6400,0.000362,Uniform
KDTree,3,5,12800,0.000344,Uniform
KDTree,3,5,25600,0.000361,Uniform
KDTree,3,5,51200,0.000366,Uniform
KDTree,4,5,50,0.000379,Uniform
KDTree,4,5,100,0.000401,Uniform
KDTree,4,5,200,0.000335,Uniform
KDTree,4,5,400,0.000433,Uniform
KDTree,4,5,800,0.000409,Uniform
KDTree,4,5,1600,0.000426,Uniform
KDTree,4,5,3200,0.000320,Uniform
KDTree,4,5,6400,0.000357,Uniform
KDTree,4,5,12800,0.000494,Uniform
KDTree,4,5,25600,0.000443,Uniform
KDTree,4,5,51200,0.000342,Uniform
KDTree,5,5,50,0.000397,Uniform
KDTree,5,5,100,0.000428,Uniform
KDTree,5,5,200,0.000471,Uniform
KDTree,5,5,400,0.000481,Uniform
KDTree,5,5,800,0.000414,Uniform
KDTree,5,5,1600,0.000371,Uniform
KDTree,5,5,3200,0.000463,Uniform
KDTree,5,5,6400,0.000459,Uniform
KDTree,5,5,12800,0.000512,Uniform
KDTree,5,5,25600,0.000452,Uniform
KDTree,5,5,51200,0.000509,Uniform
KDTree,6,5,50,0.000507,Uniform
KDTree,6,5,100,0.000483,Uniform
KDTree,6,5,200,0.000506,Uniform
KDTree,6,5,400,0.000461,Uniform
KDTree,6,5,800,0.000484,Uniform
KDTree,6,5,1600,0.000506,Uniform
KDTree,6,5,3200,0.000411,Uniform
KDTree,6,5,6400,0.000432,Uniform
KDTree,6,5,12800,0.000453,Uniform
KDTree,6,5,25600,0.000471,Uniform
KDTree,6,5,51200,0.000420,Uniform
KDTree,7,5,50,0.000555,Uniform
KDTree,7,5,100,0.000466,Uniform
KDTree,7,5,200,0.000495,Uniform
KDTree,7,5,400,0.000552,Uniform
KDTree,7,5,800,0.000496,Uniform
KDTree,7,5,1600,0.000632,Uniform
KDTree,7,5,3200,0.000431,Uniform
KDTree,7,5,6400,0.000558,Uniform
KDTree,7,5,12800,0.000511,Uniform
KDTree,7,5,25600,0.000643,Uniform
KDTree,7,5,51200,0.000499,Uniform
KDTree,8,5,50,0.000548,Uniform
KDTree,8,5,100,0.000531,Uniform
KDTree,8,5,200,0.000518,Uniform
KDTree,8,5,400,0.000560,Uniform
KDTree,8,5,800,0.000579,Uniform
KDTree,8,5,1600,0.000483,Uniform
KDTree,8,5,3200,0.000552,Uniform
KDTree,8,5,6400,0.000610,Uniform
KDTree,8,5,12800,0.000492,Uniform
KDTree,8,5,25600,0.000507,Uniform
KDTree,8,5,51200,0.000535,Uniform
KDTree,9,5,50,0.000479,Uniform
KDTree,9,5,100,0.000558,Uniform
KDTree,9,5,200,0.000525,Uniform
KDTree,9,5,400,0.000582,Uniform
KDTree,9,5,800,0.000521,Uniform
KDTree,9,5,1600,0.000579,Uniform
KDTree,9,5,3200,0.000583,Uniform
KDTree,9,5,6400,0.000566,Uniform
KDTree,9,5,12800,0.000511,Uniform
KDTree,9,5,25600,0.000511,Uniform
KDTree,9,5,51200,0.000660,Uniform
KDTree,1,10,50,0.649319,Uniform
KDTree,1,10,100,0.875601,Uniform
KDTree,1,10,200,0.839518,Uniform
KDTree,1,10,400,0.907750,Uniform
KDTree,1,10,800,0.781012,Uniform
KDTree,1,10,1600,0.695478,Uniform
KDTree,1,10,3200,0.875528,Uniform
KDTree,1,10,6400,0.884043,Uniform
KDTree,1,10,12800,0.873823,Uniform
KDTree,1,10,25600,0.855382,Uniform
KDTree,1,10,51200,0.802838,Uniform
KDTree,2,10,50,1.000969,Uniform
KDTree,2,10,100,0.964277,Uniform
KDTree,2,10,200,0.993889,Uniform
KDTree,2,10,400,0.871907,Uniform
KDTree,2,10,800,0.915555,Uniform
KDTree,2,10,1600,0.900909,Uniform
KDTree,2,10,3200,0.976385,Uniform
KDTree,2,10,6400,1.032072,Uniform
KDTree,2,10,12800,0.908147,Uniform
KDTree,2,10,25600,0.960933,Uniform
KDTree,2,10,51200,0.986779,Uniform
KDTree,3,10,50,1.209491,Uniform
KDTree,3,10,100,0.997360,Uniform
KDTree,3,10,200,0.948130,Uniform
KDTree,3,10,400,0.955281,Uniform
KDTree,3,10,800,0.962940,Uniform
KDTree,3,10,1600,1.049736,Uniform
KDTree,3,10,3200,1.100214,Uniform
KDTree,3,10,6400,1.066132,Uniform
KDTree,3,10,12800,1.085939,Uniform
KDTree,3,10,25600,0.953306,Uniform
KDTree,3,10,51200,1.081142,Uniform
KDTree,4,10,50,1.068821,Uniform
KDTree,4,10,100,1.148607,Uniform
KDTree,4,10,200,1.103427,Uniform
KDTree,4,10,400,1.161883,Uniform
KDTree,4,10,800,0.994847,Uniform
KDTree,4,10,1600,1.004802,Uniform
KDTree,4,10,3200,1.006882,Uniform
KDTree,4,10,6400,1.094232,Uniform
KDTree,4,10,12800,1.033838,Uniform
KDTree,4,10,25600,1.035914,Uniform
KDTree,4,10,51200,1.037400,Uniform
KDTree,5,10,50,1.161362,Uniform
KDTree,5,10,100,1.152342,Uniform
KDTree,5,10,200,1.198895,Uniform
KDTree,5,10,400,1.137810,Uniform
KDTree,5,10,800,1.222627,Uniform
KDTree,5,10,1600,1.188861,Uniform
KDTree,5,10,3200,1.161164,Uniform
KDTree,5,10,6400,1.221451,Uniform
KDTree,5,10,12800,1.112788,Uniform
KDTree,5,10,25600,1.146137,Uniform
KDTree,5,10,51200,1.239217,Uniform
KDTree,6,10,50,1.208429,Uniform
KDTree,6,10,100,1.140803,Uniform
KDTree,6,10,200,1.189570,Uniform
KDTree,6,10,400,1.195829,Uniform
KDTree,6,10,800,1.315699,Uniform
KDTree,6,10,1600,1.215947,Uniform
KDTree,6,10,3200,1.336745,Uniform
KDTree,6,10,6400,1.250380,Uniform
KDTree,6,10,12800,1.228752,Uniform
KDTree,6,10,25600,1.181554,Uniform
KDTree,6,10,51200,1.230137,Uniform
KDTree,7,10,50,1.313456,Uniform
KDTree,7,10,100,1.202966,Uniform
KDTree,7,10,200,1.255655,Uniform
KDTree,7,10,400,1.209030,Uniform
KDTree,7,10,800,1.263381,Uniform
KDTree,7,10,1600,1.254586,Uniform
KDTree,7,10,3200,1.320694,Uniform
KDTree,7,10,6400,1.355049,Uniform
KDTree,7,10,12800,1.312642,Uniform
KDTree,7,10,25600,1.281804,Uniform
KDTree,7,10,51200,1.358209,Uniform
KDTree,8,10,50,1.390373,Uniform
KDTree,8,10,100,1.345273,Uniform
KDTree,8,10,200,1.275251,Uniform
KDTree,8,10,400,1.225450,Uniform
KDTree,8,10,800,1.348429,Uniform
KDTree,8,10,1600,1.307909,Uniform
KDTree,8,10,3200,1.238940,Uniform
KDTree,8,10,6400,1.411837,Uniform
KDTree,8,10,12800,1.423900,Uniform
KDTree,8,10,25600,1.367025,Uniform
KDTree,8,10,51200,1.332221,Uniform
KDTree,9,10,50,1.338533,Uniform
KDTree,9,10,100,1.321911,Uniform
KDTree,9,10,200,1.249365,Uniform
KDTree,9,10,400,1.258635,Uniform
KDTree,9,10,800,1.359469,Uniform
KDTree,9,10,1600,1.398371,Uniform
KDTree,9,10,3200,1.342403,Uniform
KDTree,9,10,6400,1.292774,Uniform
KDTree,9,10,12800,1.345367,Uniform
KDTree,9,10,25600,1.254127,Uniform
KDTree,9,10,51200,1.343774,Uniform
